OBJECTNUMMER;FUNCTIE2_OMS;ZAAKNAAM;FUNCTIE2_ENG;FUNCTIE1_ID;FUNCTIE1_OMS;FUNCTIE1_ENG;FUNCTIE2_ID;LAAG;ADRESSEN_LIJST;ADRESSEN_VOT;ADRESSEN_AANTAL;OPPERVLAKTE_SOM;OPPERVLAKTE_NUL;CHECKDATUM;ZAAK_ID;COORDS;LNG;LAT;
20726;"Particulier beroepsonderwijs - Vakscholen - Autorijschool";"WESTWIJK HUISWERKBEGELEIDING";"Private Vocational schools - Driving school";"O";"Onderwijs";"Education";"O05";1;"De Rijpgracht 36/H - 84 m2<br>Gerard Callenburgstraat 2/H - 44 m2<br>";"03630000618615-03630000643252";2;128;0;"2017-08-01";20092361;"POLYGON((4.859967884836854 52.37762698464491,4.859968 52.377627,4.859973 52.377614,4.860002 52.377618,4.860008 52.377601,4.860012 52.377591,4.860002294117624 52.37758970588235,4.859937359064843 52.37758005337451,4.859959 52.377523,4.859958725 52.377522725,4.859959 52.377522,4.859945370370229 52.377520370370355,4.859927 52.377518,4.8599269179487194 52.37751816410256,4.859867 52.377511,4.859811 52.377662,4.859947 52.37768))";"4,8599105";"52,377595";
20728;"Kinderopvang (zelfstandig)";"MIJN BLOKJE";"Child care (independently)";"O";"Onderwijs";"Education";"O01";1;"Haarlemmermeerstraat 40 - 93 m2<br>";"03630000656301";1;93;0;"2017-07-06";245;"POLYGON((4.849957 52.356694,4.850122 52.356695,4.850123 52.356627,4.849958 52.356625,4.849957 52.356694))";"4,850044";"52,356654";
20729;"Kinderopvang (zelfstandig)";"SLOT MEESENSTIJN";"Child care (independently)";"O";"Onderwijs";"Education";"O01";1;"Bosboom Toussaintstraat 20/H - 167 m2<br>";"03630023839992";1;167;0;"2017-02-22";5052;"POLYGON((4.876561 52.365924,4.876581 52.36593,4.876651 52.365951,4.87673 52.365849,4.876642 52.365822,4.87658 52.365901,4.876561 52.365924))";"4,8766495";"52,365878";
20730;"Gezondheidspraktijk";"ERIKAMH";"Health practice";"Z";"Zorg";"Care";"Z01";1;"Erasmusgracht 65/H - 59 m2<br>";"03630000633192";1;59;0;"2017-07-25";7841;"POLYGON((4.843754 52.374849,4.843768 52.374912,4.843938 52.374896,4.843927 52.374849,4.843888 52.374853,4.843885 52.374838,4.843754 52.374849))";"4,84385";"52,3748675";
20731;"Kinderopvang (zelfstandig)";"JSA KINDERDAGVERBLIJF";"Child care (independently)";"O";"Onderwijs";"Education";"O01";1;"Van Oldenbarneveldtstraat 77/H - 105 m2<br>";"03630000844043";1;105;0;"2017-08-03";8326;"POLYGON((4.874363 52.374819,4.874393 52.374869,4.874565 52.374829,4.874535 52.374778,4.874363 52.374819))";"4,874468";"52,374816";
20732;"Bedrijf - Bedrijfsverzamelgebouw";"";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Bernard Loderstraat 49/H - 76 m2<br>";"03630000581615";1;76;0;"2017-10-14";11054;"POLYGON((4.817994 52.380804,4.818097 52.380806,4.818102 52.380693,4.817999 52.380691,4.817994 52.380804))";"4,818052";"52,38074";
20733;"Voortgezet onderwijs";"ORION COLLEGE";"Secondary education";"O";"Onderwijs";"Education";"O03";1;"Zekeringstraat 45A - 0 m2<br>Zekeringstraat 45B - 2277 m2<br>Zekeringstraat 45C - 0 m2<br>Zekeringstraat 45D - 0 m2<br>Zekeringstraat 45E - 0 m2<br>Zekeringstraat 45F - 160 m2<br>Zekeringstraat 45G - 140 m2<br>Zekeringstraat 45H - 330 m2<br>Zekeringstraat 45 - 2953 m2<br>";"03630000936685-03630000936686-03630000936687-03630000936688-03630000936689-03630000936690-03630000936691-03630000936692-03630023241879";9;5860;4;"2017-09-14";12016;"POLYGON((4.848407 52.395914,4.848833 52.395921,4.848899 52.395883,4.84891 52.395638,4.848419 52.39563,4.848407 52.395914))";"4,8486625";"52,395768";
20734;"Voortgezet onderwijs";"IEDERSLAND COLLEGE";"Secondary education";"O";"Onderwijs";"Education";"O03";1;"Zekeringstraat 38 - 4340 m2<br>";"03630023196227";1;4340;0;"2017-09-14";12026;"POLYGON((4.849825 52.397252,4.850361 52.397262,4.850369 52.397127,4.850367 52.397125,4.850345 52.397125,4.850348 52.397068,4.85037 52.397069,4.850383 52.396804,4.850171 52.3968,4.850171 52.396791,4.850165 52.396791,4.850161 52.396814,4.850133 52.396813,4.85013 52.396806,4.850116 52.396801,4.850104 52.396803,4.850095 52.396811,4.850067 52.396812,4.850068 52.396798,4.849847 52.396793,4.849835 52.39706,4.849857 52.39706,4.849855 52.397117,4.849833 52.397116,4.849831 52.397122,4.849825 52.397252),(4.850135 52.397113,4.850066 52.397112,4.850073 52.396941,4.850141 52.396942,4.850139 52.396996,4.850135 52.397113))";"4,850108";"52,3970195";
20735;"Particulier beroepsonderwijs - Vakscholen - Autorijschool";"CCB GROEP";"Private Vocational schools - Driving school";"O";"Onderwijs";"Education";"O05";1;"Poortland 43 - 842 m2<br>";"03630001006849";1;842;0;"2017-10-28";12538;"POLYGON((4.784479 52.391957,4.784195 52.391957,4.784193 52.391939,4.784011 52.391938,4.78401 52.39205,4.784189 52.39205,4.784189 52.392106,4.78448 52.392106,4.784479 52.391957))";"4,784249";"52,392016";
20736;"Consumentendienstverlening overig";"MCR AUTOVERHUUR";"Consumer services other";"D";"Detailhandel";"Retail";"D13";1;"Jan Rebelstraat 44 - 96 m2<br>";"03630000999488";1;96;0;"2017-10-14";13992;"POLYGON((4.784317 52.361751,4.784388 52.361766,4.784439 52.361674,4.784368 52.361659,4.784317 52.361751))";"4,784382";"52,3617045";
