OBJECTNUMMER;FUNCTIE2_OMS;ZAAKNAAM;FUNCTIE2_ENG;FUNCTIE1_ID;FUNCTIE1_OMS;FUNCTIE1_ENG;FUNCTIE2_ID;LAAG;ADRESSEN_LIJST;ADRESSEN_VOT;ADRESSEN_AANTAL;OPPERVLAKTE_SOM;OPPERVLAKTE_NUL;CHECKDATUM;ZAAK_ID;COORDS;LNG;LAT;
2;"Bedrijf - Bedrijfsverzamelgebouw";"GATES MODEONTWERPSTER";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Eerste Constantijn Huygensstraat 72/H - 159 m2<br>Eerste Constantijn Huygensstraat 74/H - 50 m2<br>";"03630001026781-03630001026782";2;209;0;"2017-03-10";4814;"POLYGON((4.874287 52.363621,4.87442 52.363659,4.874487 52.363561,4.874325 52.363518,4.874263 52.363613,4.874287 52.363621))";"4,874379";"52,3635795";
3;"Bedrijf - Bedrijfsverzamelgebouw";"AUTOBEDRIJF";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Tweede Helmersstraat 11/H - 114 m2<br>Tweede Helmersstraat 13/H - 167 m2<br>";"03630000550443-03630001015240";2;281;0;"2017-02-22";4864;"POLYGON((4.87776 52.364755,4.877969 52.364816,4.878052 52.364708,4.878049 52.364663,4.877979 52.364642,4.878013 52.364595,4.877944 52.364575,4.877905 52.364564,4.87776 52.364755))";"4,87791";"52,364684";
4;"Bedrijf - Bedrijfsverzamelgebouw";"GARAGE WEST-CENTER";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Tweede Helmersstraat 15/H - 0 m2<br>";"03630000550458";1;0;1;"2017-02-22";4866;"POLYGON((4.87776 52.364755,4.877905 52.364564,4.877797 52.364535,4.87765 52.364722,4.87776 52.364755))";"4,8777815";"52,3646385";
5;"Bedrijf - Bedrijfsverzamelgebouw";"HELMER GARAGE";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Tweede Helmersstraat 47/H - 61 m2<br>";"03630022623974";1;61;0;"2017-02-22";4868;"POLYGON((4.876384 52.364241,4.876314 52.364331,4.876398 52.364355,4.876459 52.364277,4.876436 52.36427,4.876445 52.364258,4.876384 52.364241))";"4,8763905";"52,364291";
6;"Bedrijf - Bedrijfsverzamelgebouw";"AUTOSERVICE";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Tweede Kostverlorenkade 23/H - 0 m2<br>Tweede Kostverlorenkade 24/H - 140 m2<br>Tweede Kostverlorenkade 25/H - 132 m2<br>";"03630000552251-03630001009796-03630000552258";3;272;1;"2017-07-10";4873;"POLYGON((4.865257 52.369879,4.865419 52.369823,4.865468 52.369806,4.865471 52.369674,4.865421 52.36962,4.865116 52.369727,4.865257 52.369879))";"4,8652975";"52,3697425";
9;"Consumentendienstverlening overig";"KALENDER KLEERMAKER";"Consumer services other";"D";"Detailhandel";"Retail";"D13";1;"Bellamyplein 8/H - 66 m2<br>";"03630000579889";1;66;0;"2017-07-09";4915;"POLYGON((4.867579 52.368515,4.867663 52.368532,4.867741 52.368381,4.867647 52.368384,4.867579 52.368515))";"4,867664";"52,368449";
10;"Bedrijf - Bedrijfsverzamelgebouw";"SPEIJER";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Bellamystraat 30/H - 0 m2<br>";"03630000580070";1;0;1;"2017-07-09";4924;"POLYGON((4.86565 52.367285,4.865813 52.367328,4.865895 52.367349,4.865997 52.367182,4.865764 52.367121,4.86565 52.367285))";"4,8658275";"52,3672285";
11;"Bedrijf - Bedrijfsverzamelgebouw";"MEISTER SMEDERIJ";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Bellamystraat 74/H - 266 m2<br>";"03630000580157";1;266;0;"2017-07-09";4925;"POLYGON((4.864207 52.366713,4.864137 52.366695,4.864074 52.366784,4.864221 52.366823,4.86428 52.366733,4.864207 52.366713))";"4,864181";"52,3667515";
12;"Bedrijf - Bedrijfsverzamelgebouw";"COLORS";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Bilderdijkstraat 184/O - 75 m2<br>";"03630000586338";1;75;0;"2017-03-19";5022;"POLYGON((4.872067 52.366642,4.872115 52.366656,4.872113 52.366664,4.872289 52.366713,4.872318 52.366671,4.872141 52.366623,4.872128 52.366639,4.872079 52.366626,4.872067 52.366642))";"4,8721965";"52,36666";
13;"Bedrijf - Bedrijfsverzamelgebouw";"MOTO-DICK";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Potgieterstraat 32 - 156 m2<br>";"03630000781095";1;156;0;"2017-07-08";5081;"POLYGON((4.872586 52.36963,4.872668 52.369651,4.872774 52.369492,4.872713 52.369477,4.872684 52.369484,4.872586 52.36963))";"4,872684";"52,3695575";
15;"Bedrijf - Bedrijfsverzamelgebouw";"GRAVEERINRICHTING & STEMPELFABRIEK DE LETTER";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"De Clercqstraat 15 - 71 m2<br>";"03630000616805";1;71;0;"2017-07-08";5104;"POLYGON((4.873411 52.371519,4.873486 52.371395,4.873367 52.371392,4.873358 52.371501,4.873367 52.371509,4.873411 52.371519))";"4,873426";"52,371449";
16;"Bedrijf - Bedrijfsverzamelgebouw";"ZIGZAG";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Douwes Dekkerstraat 36/H - 89 m2<br>";"03630000626013";1;89;0;"2017-07-19";5180;"POLYGON((4.8658692 52.3682337,4.8658860 52.3682070,4.8659040 52.3682110,4.8659210 52.3682070,4.8659360 52.3682110,4.8659500 52.3682070,4.8659600 52.3682100,4.8659910 52.3682020,4.8660280 52.3682120,4.8660300 52.3682080,4.8661290 52.3682320,4.8660960 52.3682840,4.8660860 52.3682820))";"4,865998";"52,368241";
17;"Bedrijf - Bedrijfsverzamelgebouw";"GARAGE REITSMA";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jacob van Lennepkade 157/H - 184 m2<br>";"03630000680630";1;184;0;"2017-03-10";5204;"POLYGON((4.864763 52.363069,4.864847 52.36309,4.864848 52.363088,4.864872 52.363095,4.865007 52.362887,4.864898 52.36286,4.864763 52.363069))";"4,864889";"52,3629715";
18;"Kantoor - Kantoorverzamelgebouw";"STICKY STUFF";"Office - Collective offices";"K";"Kantoren";"Offices";"K01";1;"Jacob van Lennepkade 304 - 80 m2<br>";"03630000941926";1;80;0;"2017-03-19";5217;"POLYGON((4.863004 52.363263,4.863101 52.363286,4.863181 52.363163,4.863086 52.363139,4.863004 52.363263))";"4,8630965";"52,3632055";
19;"Bedrijf - Bedrijfsverzamelgebouw";"MEIER INSTALLATIETECHNIEK";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jacob van Lennepkade 330/H - 33 m2<br>";"03630000681132";1;33;0;"2017-03-19";5218;"POLYGON((4.862288 52.36309,4.862344 52.363104,4.862426 52.362979,4.862368 52.362965,4.862288 52.36309))";"4,862361";"52,3630285";
20;"Bedrijf - Bedrijfsverzamelgebouw";"GARAGE BENELUX";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jacob van Lennepkade 344/H - 95 m2<br>Jacob van Lennepkade 346/H - 125 m2<br>";"03630000681172-03630000681176";2;220;0;"2017-03-15";5221;"POLYGON((4.861224 52.362931,4.861301 52.362949,4.861335 52.362957,4.861413 52.362838,4.861472 52.362747,4.861252 52.362694,4.861116 52.362904,4.861224 52.362931))";"4,861298";"52,3628165";
21;"Bedrijf - Bedrijfsverzamelgebouw";"KODAMA";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jacob van Lennepkade 378 - 80 m2<br>";"03630024092626";1;80;0;"2017-03-15";5222;"POLYGON((4.859937 52.3625,4.859927 52.362517,4.860125 52.362565,4.860168 52.362498,4.860148 52.362493,4.860179 52.362443,4.860029 52.362407,4.859994 52.362461,4.859967 52.362454,4.859937 52.3625))";"4,860057";"52,362479";
23;"Bedrijf - Bedrijfsverzamelgebouw";"ZONG";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jacob van Lennepstraat 10/H - 89 m2<br>";"03630000681381";1;89;0;"2017-03-19";5227;"POLYGON((4.876208 52.367283,4.876274 52.367195,4.876183 52.367169,4.876098 52.36728,4.876046 52.367345,4.876074 52.367354,4.876105 52.367314,4.876119 52.367318,4.876159 52.367268,4.876208 52.367283))";"4,876164";"52,3672555";
24;"Bedrijf - Bedrijfsverzamelgebouw";"ALEX VAN OOSTROM & AS ARCHITECTS";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jacob van Lennepstraat 11/H - 102 m2<br>";"03630000681385";1;102;0;"2017-03-19";5228;"POLYGON((4.876111 52.367001,4.87619 52.367023,4.876316 52.366861,4.876236 52.366839,4.876111 52.367001))";"4,8762175";"52,3669235";
25;"Bedrijf - Bedrijfsverzamelgebouw";"MIRJAM INHOUT";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jacob van Lennepstraat 12/H - 34 m2<br>";"03630000681388";1;34;0;"2017-03-19";5229;"POLYGON((4.876015 52.367257,4.876098 52.36728,4.876183 52.367169,4.876098 52.367146,4.876015 52.367257))";"4,876103";"52,3672075";
26;"Bedrijf - Bedrijfsverzamelgebouw";"SCHOLTS";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jacob van Lennepstraat 21/H - 63 m2<br>";"03630000681425";1;63;0;"2017-03-19";5230;"POLYGON((4.875454 52.366719,4.875394 52.3668,4.875483 52.366825,4.875492 52.366824,4.875548 52.366745,4.875454 52.366719))";"4,875475";"52,3667645";
27;"Bedrijf - Bedrijfsverzamelgebouw";"CLOUDNOLA";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jacob van Lennepstraat 28/H - 50 m2<br>";"03630000681468";1;50;0;"2017-03-19";5232;"POLYGON((4.875139 52.366987,4.875163 52.366994,4.87515 52.367015,4.875173 52.367022,4.875256 52.366908,4.875209 52.366895,4.875139 52.366987))";"4,8752015";"52,366952";
28;"Bedrijf - Bedrijfsverzamelgebouw";"RESTAURATEUR";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jacob van Lennepstraat 36/H - 61 m2<br>";"03630000681517";1;61;0;"2017-03-19";5234;"POLYGON((4.874838 52.366792,4.874763 52.366897,4.874919 52.366941,4.874996 52.366836,4.874838 52.366792))";"4,8748835";"52,3668605";
29;"Bedrijf - Bedrijfsverzamelgebouw";"";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jacob van Lennepstraat 48/H - 60 m2<br>";"03630000948756";1;60;0;"2017-03-19";5238;"POLYGON((4.873799 52.366501,4.873727 52.366481,4.873649 52.366592,4.87372 52.366612,4.873799 52.366501))";"4,873728";"52,36654";
30;"Bedrijf - Bedrijfsverzamelgebouw";"MARIEKE KOET MEUBELSTOFFERING";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jacob van Lennepstraat 82/H - 90 m2<br>";"03630000681747";1;90;0;"2017-03-19";5246;"POLYGON((4.872008 52.366141,4.872085 52.366162,4.872169 52.366045,4.872092 52.366024,4.872008 52.366141))";"4,8720925";"52,366086";
31;"Bedrijf - Bedrijfsverzamelgebouw";"";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jacob van Lennepstraat 85B - 70 m2<br>";"03630000681761";1;70;0;"2017-03-19";5247;"POLYGON((4.870918 52.365418,4.870839 52.365525,4.870982 52.365565,4.87106 52.365458,4.870918 52.365418))";"4,8709535";"52,3654855";
32;"Bedrijf - Bedrijfsverzamelgebouw";"";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jacob van Lennepstraat 91 - 100 m2<br>";"03630000681772";1;100;0;"2017-03-19";5249;"POLYGON((4.870778 52.365508,4.870839 52.365525,4.870918 52.365418,4.870856 52.365401,4.870778 52.365508))";"4,870852";"52,3654565";
34;"Bedrijf - Bedrijfsverzamelgebouw";"OOSTENDORP";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Kanaalstraat 184/H - 0 m2<br>Kanaalstraat 186/H - 250 m2<br>";"03630000697948-03630000697956";2;250;1;"2017-03-10";5342;"POLYGON((4.858416 52.361295,4.858507 52.361317,4.858555 52.361328,4.858708 52.361102,4.85856 52.361065,4.858464 52.361207,4.858406 52.361293,4.858416 52.361295),(4.858598 52.361183,4.858606 52.361172,4.858631 52.361178,4.858599 52.361225,4.858554 52.361213,4.858578 52.361177,4.858598 52.361183))";"4,858561";"52,3611875";
35;"Bedrijf - Bedrijfsverzamelgebouw";"AYS HUISINRICHTING";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Kinkerstraat 337/H - 49 m2<br>";"03630000706270";1;49;0;"2017-03-15";5510;"POLYGON((4.861719 52.364479,4.861786 52.364495,4.861849 52.364395,4.861782 52.364379,4.861719 52.364479))";"4,861788";"52,3644305";
36;"Bedrijf - Bedrijfsverzamelgebouw";"PAKKETTEN DIENST DE KINKER";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Kinkerstraat 351/H - 50 m2<br>";"03630000706325";1;50;0;"2017-03-15";5522;"POLYGON((4.861269 52.364373,4.861336 52.364388,4.8614 52.364288,4.861333 52.364273,4.861269 52.364373))";"4,8613385";"52,3643235";
37;"Bedrijf - Bedrijfsverzamelgebouw";"KATJA FUTON MATRASSEN";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Marius van Bouwdijk Bastiaansestraat 34 - 77 m2<br>";"03630000951383";1;77;0;"2017-03-05";5556;"POLYGON((4.870292 52.363622,4.870342 52.363551,4.870445 52.363577,4.870404 52.363635,4.870386 52.36363,4.870376 52.363644,4.870369 52.363642,4.870292 52.363622))";"4,8703725";"52,363591";
38;"Broedplaats - Atelier - Ambachtwerkplaats";"WERKPLAATS GOOGCHEM";"Art workplace - Craft workplace";"B";"Bedrijven";"Enterprises";"B03";1;"";"";0;0;0;"2017-03-05";5557;"POLYGON((4.871145 52.363104,4.871205 52.363118,4.871343 52.362916,4.871286 52.362901,4.871145 52.363104))";"4,871248";"52,3630035";
39;"Bedrijf - Bedrijfsverzamelgebouw";"HAVIA HANDELSONDERONDERNEMING";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"De Genestetstraat 13/H - 326 m2<br>Nassaukade 373A - 540 m2<br>";"03630000617545-03630001041812";2;866;0;"2017-03-19";5588;"POLYGON((4.877104 52.364982,4.877192 52.365011,4.878135 52.365286,4.878142 52.365278,4.878443 52.365367,4.878468 52.365303,4.878144 52.365209,4.878151 52.365202,4.877316 52.364959,4.877156 52.364914,4.877104 52.364982))";"4,87779";"52,365132";
40;"Bedrijf - Bedrijfsverzamelgebouw";"WITMAN-KLEIPOOL";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Palamedesstraat 6 - 454 m2<br>";"03630000770496";1;454;0;"2017-02-22";5788;"POLYGON((4.876357 52.362461,4.876318 52.362516,4.876485 52.36256,4.876524 52.362506,4.876357 52.362461))";"4,876425";"52,362502";
41;"Bedrijf - Bedrijfsverzamelgebouw";"SCRUDERIA";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Schimmelstraat 69/H - 82 m2<br>Schimmelstraat 71/H - 0 m2<br>";"03630000806710-03630000806713";2;82;1;"2017-07-10";5826;"POLYGON((4.863806 52.368072,4.863798 52.36809,4.863761 52.368084,4.863726 52.368162,4.863862 52.368184,4.863947 52.368028,4.863797 52.368003,4.863785 52.368029,4.863823 52.368035,4.863806 52.368072))";"4,8638405";"52,3680865";
42;"Bedrijf - Bedrijfsverzamelgebouw";"CATERING";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Ten Katestraat 22A/H - 49 m2<br>";"03630001166918";1;49;0;"2017-07-09";5851;"POLYGON((4.866599 52.366817,4.866795 52.366867,4.866819 52.366832,4.866624 52.366781,4.866599 52.366817))";"4,866713";"52,3668165";
43;"Bedrijf - Bedrijfsverzamelgebouw";"GARAGE BILLY";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Tollensstraat 90/H - 320 m2<br>";"03630000828793";1;320;0;"2017-03-19";5895;"POLYGON((4.869906 52.365656,4.869943 52.365604,4.869612 52.365517,4.869541 52.365618,4.869618 52.365638,4.869549 52.365736,4.869801 52.365807,4.869906 52.365656))";"4,869746";"52,365657";
46;"Bedrijf - Bedrijfsverzamelgebouw";"DE STOFFEERDER";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Wilhelminastraat 220/H - 55 m2<br>";"03630000870662";1;55;0;"2017-03-10";5941;"POLYGON((4.857722 52.360147,4.857754 52.360186,4.857785 52.360176,4.857792 52.360184,4.857898 52.360152,4.857867 52.360114,4.857844 52.360108,4.857722 52.360147))";"4,857814";"52,360141";
47;"Bedrijf - Bedrijfsverzamelgebouw";"CEES THOMAS AUTOBEDRIJF";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Zocherstraat 26/H - 125 m2<br>Zocherstraat 28/H - 119 m2<br>";"03630000880026-03630001005770";2;244;0;"2017-02-28";5950;"POLYGON((4.856876 52.357397,4.856733 52.357629,4.856889 52.357659,4.857015 52.357432,4.856876 52.357397))";"4,856878";"52,357522";
48;"Bedrijf - Bedrijfsverzamelgebouw";"";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Admiraal De Ruijterweg 3 - 57 m2<br>";"03630000558982";1;57;0;"2017-07-31";5956;"POLYGON((4.864264 52.370149,4.864336 52.370237,4.864445 52.370205,4.864373 52.370117,4.864264 52.370149))";"4,8643585";"52,37017";
49;"Winkel overig";"WILLEMS VINTAGE BIKES";"Shop other";"D";"Detailhandel";"Retail";"D12";1;"Admiraal De Ruijterweg 106/H - 49 m2<br>";"03630000559287";1;49;0;"2017-07-31";5995;"POLYGON((4.85938 52.372647,4.859577 52.37267,4.859595 52.372613,4.859578 52.372611,4.859398 52.37259,4.85938 52.372647))";"4,8594915";"52,372624";
50;"Bedrijf - Bedrijfsverzamelgebouw";"STADSDEELWERF";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Admiraal Helfrichstraat 7 - 1587 m2<br>";"03630000940676";1;1587;0;"2017-07-25";6008;"MULTIPOLYGON(((4.845963 52.370296,4.846203 52.370314,4.846292 52.369882,4.846052 52.369863,4.845963 52.370296)),((4.845271 52.369974,4.845525 52.36998,4.845535 52.369824,4.845281 52.369818,4.845271 52.369974)),((4.845357 52.370249,4.845798 52.370283,4.845816 52.370195,4.845375 52.370161,4.845357 52.370249)),((4.845344 52.370618,4.845505 52.370628,4.845536 52.370449,4.845375 52.370439,4.845344 52.370618)))";"4,8457855";"52,3702155";
51;"Bedrijf - Bedrijfsverzamelgebouw";"BOEKBINDERIJ HENNINK";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Admiralengracht 303/H - 146 m2<br>";"03630000561601";1;146;0;"2017-07-31";6016;"POLYGON((4.855086 52.373741,4.855294 52.373763,4.855314 52.373698,4.855241 52.373689,4.855106 52.373674,4.855086 52.373741))";"4,855204";"52,3737115";
52;"Bedrijf - Bedrijfsverzamelgebouw";"GULF DEMAROL BAARSJES MET BENZINESTATION";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Chasséstraat 8/H - 87 m2<br>";"03630000604191";1;87;0;"2017-06-22";6090;"POLYGON((4.861943 52.367614,4.862044 52.367621,4.862046 52.367599,4.862065 52.367598,4.862051 52.367553,4.861956 52.367546,4.861943 52.367614))";"4,862008";"52,3675755";
53;"Bedrijf - Bedrijfsverzamelgebouw";"GARAGE EMMANUEL";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Baarsjesweg 165/H - 121 m2<br>Chasséstraat 10/H - 227 m2<br>Chasséstraat 12/H - 106 m2<br>Baarsjesweg 166/H - 86 m2<br>";"03630000573946-03630001005394-03630001005396-03630000573948";4;540;0;"2017-06-22";6091;"POLYGON((4.8622430 52.3675800,4.8622980 52.3676400,4.8621290 52.3677000,4.8621030 52.3676980,4.8620880 52.3677620,4.8619160 52.3677490,4.8619430 52.3676140,4.8620440 52.3676210,4.8620440 52.3676270,4.8620540 52.3676390,4.8620430 52.3676930,4.8621280 52.3677000,4.8621940 52.3676760,4.8621520 52.3676300,4.8621540 52.3676110,4.8621348 52.3675906,4.8621185 52.3675918,4.8621077 52.3675462,4.8621874 52.3675193,4.8622430 52.3675800))";"4,862106";"52,3676405";
55;"Bedrijf - Bedrijfsverzamelgebouw";"";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Filips van Almondestraat 4A - 192 m2<br>Filips van Almondestraat 12A - 192 m2<br>";"03630001009356-03630001009369";2;384;0;"2017-06-22";6116;"POLYGON((4.858076 52.370313,4.858061 52.370373,4.858597 52.370423,4.858648 52.370168,4.858559 52.37016,4.858535 52.370254,4.858541 52.370255,4.858516 52.370354,4.858245 52.370329,4.858289 52.370135,4.8582 52.370126,4.858147 52.37032,4.858076 52.370313))";"4,8583585";"52,370269";
56;"Bedrijf - Bedrijfsverzamelgebouw";"VERBOUWING";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Filips van Almondestraat 20/H - 217 m2<br>";"03630000636282";1;217;0;"2017-06-22";6118;"POLYGON((4.8576970 52.3703390,4.8577120 52.3702800,4.8577890 52.3702870,4.8578110 52.3701970,4.8578150 52.3701970,4.8578430 52.3700930,4.8579310 52.3701010,4.8578870 52.3702960,4.8580760 52.3703130,4.8580610 52.3703730,4.8576970 52.3703390))";"4,8578855";"52,3702325";
57;"Bedrijf - Bedrijfsverzamelgebouw";"HOBBYSTEE";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Hoofdweg 41/H - 81 m2<br>";"03630000670727";1;81;0;"2017-03-15";6123;"POLYGON((4.85283 52.360605,4.853 52.360608,4.853001 52.360589,4.853013 52.360584,4.853014 52.360555,4.852849 52.360552,4.852848 52.360584,4.852831 52.360584,4.85283 52.360605))";"4,852926";"52,3605735";
58;"Bedrijf - Bedrijfsverzamelgebouw";"R. FIEREG";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Hoofdweg 130/H - 81 m2<br>";"03630000670974";1;81;0;"2017-03-19";6135;"POLYGON((4.853433 52.364008,4.853624 52.364009,4.853625 52.363956,4.853435 52.363954,4.853433 52.364008))";"4,853533";"52,3639745";
59;"Bedrijf - Bedrijfsverzamelgebouw";"GARAGE HOOFDWEG";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Hoofdweg 360/H - 868 m2<br>";"03630000671853";1;868;0;"2017-07-25";6158;"POLYGON((4.8497980 52.3718360,4.8500070 52.3718770,4.8498800 52.3721240,4.8498900 52.3721260,4.8496700 52.3726120,4.8495785 52.3725941,4.8495970 52.3725550,4.8495860 52.3724910,4.8497660 52.3721020,4.8497600 52.3721010,4.8497730 52.3720760,4.8497780 52.3720770,4.8497910 52.3720410,4.8498610 52.3719050,4.8496100 52.3718560,4.8496370 52.3718040,4.8497980 52.3718360))";"4,8497915";"52,3722065";
60;"Bedrijf - Bedrijfsverzamelgebouw";"EURO GARAGE";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Bestevâerstraat 55A - 262 m2<br>Jan van Galenstraat 115A - 262 m2<br>";"03630001027184-03630001027152";2;524;0;"2017-07-31";6283;"POLYGON((4.859167 52.374632,4.859256 52.374642,4.859287 52.374544,4.8593 52.374505,4.859337 52.374489,4.859414 52.374498,4.859584 52.374517,4.859601 52.374461,4.859233 52.374418,4.859167 52.374632))";"4,859388";"52,3745245";
61;"Bedrijf - Bedrijfsverzamelgebouw";"HERBIES INKOOP GOUD EN ZILVER";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Jan van Galenstraat 311 - 66 m2<br>";"03630000687741";1;66;0;"2017-07-25";6312;"POLYGON((4.847244 52.372268,4.847464 52.372351,4.847477 52.372326,4.84748 52.372326,4.847487 52.372312,4.847404 52.372281,4.847411 52.372267,4.847261 52.372235,4.847244 52.372268))";"4,8473695";"52,372287";
62;"Bedrijf - Bedrijfsverzamelgebouw";"AUTOMOTIVE AMSTERDAM";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Admiralengracht 170/H - 0 m2<br>Jan van Riebeekstraat 30/H - 0 m2<br>";"03630000561255-03630000809671";2;0;2;"2017-07-25";6316;"POLYGON((4.857264 52.370759,4.857412 52.370773,4.857429 52.370711,4.857132 52.370683,4.857115 52.370741,4.857264 52.370759))";"4,857276";"52,370721";
63;"Bedrijf - Bedrijfsverzamelgebouw";"EURO KLEERMAKER STOMERIJ";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Krommertstraat 12 - 59 m2<br>";"03630000713658";1;59;0;"2017-07-31";6321;"POLYGON((4.858057 52.372161,4.858182 52.372175,4.858211 52.372074,4.858088 52.37206,4.858057 52.372161))";"4,858138";"52,372111";
64;"Bedrijf - Bedrijfsverzamelgebouw";"LEEGSTAND";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Lodewijk Boisotstraat 12/H - 120 m2<br>";"03630000726211";1;120;0;"2017-06-22";6324;"POLYGON((4.858304 52.369384,4.858283 52.369473,4.858382 52.369482,4.858425 52.369304,4.858326 52.369295,4.858304 52.369384))";"4,858358";"52,3693815";
65;"Bedrijf - Bedrijfsverzamelgebouw";"AUTOBEDRIJF ATLAS";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Lumeijstraat 2/H - 544 m2<br>Lumeijstraat 6/H - 0 m2<br>";"03630000729871-03630001005447";2;544;1;"2017-07-31";6325;"POLYGON((4.8614286 52.3723508,4.8617929 52.3723800,4.8618300 52.3722070,4.8614670 52.3721780))";"4,8616285";"52,372277";
66;"Bedrijf - Bedrijfsverzamelgebouw";"";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Maarten Harpertszoon Trompstraat 44/H - 63 m2<br>";"03630000731181";1;63;0;"2017-07-31";6328;"POLYGON((4.862843 52.371844,4.862887 52.371944,4.862972 52.37193,4.862966 52.371915,4.862928 52.37183,4.862843 52.371844))";"4,8629115";"52,3718785";
67;"Bedrijf - Bedrijfsverzamelgebouw";"GARAGE MARCO POLO";"Enterprise - Collective enterprises";"B";"Bedrijven";"Enterprises";"B01";1;"Marco Polostraat 91/H - 158 m2<br>";"03630000734495";1;158;0;"2017-03-17";6332;"POLYGON((4.855852 52.36766,4.856208 52.367697,4.85622 52.367644,4.856018 52.367631,4.856023 52.367604,4.855922 52.367597,4.855925 52.367572,4.855866 52.367568,4.855852 52.36766))";"4,85604";"52,367625";
